age_group,count,election_type,electoral_district,year
36-41,12832,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
36-41,5347,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
36-41,10262,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
36-41,4223,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
36-41,9764,βουλευτικές,ΚΙΛΚΙΣ,2012
36-41,15814,βουλευτικές,ΚΟΖΑΝΗΣ,2012
36-41,13382,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
36-41,11333,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
36-41,8965,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
36-41,25115,βουλευτικές,ΛΑΡΙΣΗΣ,2012
36-41,6524,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
36-41,10121,βουλευτικές,ΛΕΣΒΟΥ,2012
36-41,2476,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
36-41,16741,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
36-41,15718,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
36-41,12387,βουλευτικές,ΞΑΝΘΗΣ,2012
36-41,14492,βουλευτικές,ΠΕΛΛΗΣ,2012
36-41,13366,βουλευτικές,ΠΙΕΡΙΑΣ,2012
36-41,6696,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
36-41,7558,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
36-41,11918,βουλευτικές,ΡΟΔΟΠΗΣ,2012
36-41,4132,βουλευτικές,ΣΑΜΟΥ,2012
36-41,22640,βουλευτικές,ΣΕΡΡΩΝ,2012
36-41,15404,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
36-41,14317,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
36-41,5828,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
36-41,3623,βουλευτικές,ΦΩΚΙΔΟΣ,2012
36-41,10357,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
36-41,13812,βουλευτικές,ΧΑΝΙΩΝ,2012
36-41,5136,βουλευτικές,ΧΙΟΥ,2012
42-47,23834,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
42-47,9302,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
42-47,10885,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
42-47,7957,βουλευτικές,ΑΡΤΗΣ,2012
42-47,44680,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
42-47,163838,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
42-47,49368,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
42-47,18888,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
42-47,27751,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
42-47,28844,βουλευτικές,ΑΧΑΪΑΣ,2012
42-47,10901,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
42-47,4147,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
42-47,12679,βουλευτικές,ΔΡΑΜΑΣ,2012
42-47,18311,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
42-47,16285,βουλευτικές,ΕΒΡΟΥ,2012
42-47,20207,βουλευτικές,ΕΥΒΟΙΑΣ,2012
42-47,2781,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
42-47,3986,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
42-47,16222,βουλευτικές,ΗΛΕΙΑΣ,2012
42-47,14279,βουλευτικές,ΗΜΑΘΙΑΣ,2012
42-47,26711,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
42-47,5676,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
42-47,59765,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
42-47,32633,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
42-47,16062,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
42-47,15228,βουλευτικές,ΚΑΒΑΛΑΣ,2012
42-47,12687,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
42-47,5971,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
42-47,10166,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
42-47,4808,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
42-47,11196,βουλευτικές,ΚΙΛΚΙΣ,2012
42-47,17331,βουλευτικές,ΚΟΖΑΝΗΣ,2012
42-47,13509,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
