appprocesstime,average_speed,countedcars,deviceid
2020-11-05T00:00:00Z,57.50561797752807,7120,MS492
2020-11-05T00:00:00Z,28.156249999999993,3840,MS494
2020-11-05T00:00:00Z,40.2622950819672,2440,MS495
2020-11-05T00:00:00Z,24.484472049689437,6440,MS496
2020-11-05T00:00:00Z,26.952380952380956,5880,MS497
2020-11-05T00:00:00Z,57.56687898089173,12560,MS500
2020-11-05T00:00:00Z,101.85714285714285,280,MS502
2020-11-05T00:00:00Z,51.64940239043825,10040,MS503
2020-11-05T00:00:00Z,47.61585365853658,6560,MS523
2020-11-05T00:00:00Z,63.16666666666666,480,MS527
2020-11-05T00:00:00Z,31.685185185185173,2160,MS530
2020-11-05T00:00:00Z,78.67597765363126,7160,MS535
2020-11-05T00:00:00Z,51.11111111111109,2520,MS556
2020-11-05T00:00:00Z,37.274509803921575,2040,MS582
2020-11-05T00:00:00Z,37.22,8000,MS584
2020-11-05T00:00:00Z,39.26168224299066,4280,MS597
2020-11-05T00:00:00Z,42.70940170940171,4680,MS631
2020-11-05T00:00:00Z,59.75316455696203,12640,MS633
2020-11-05T00:00:00Z,57.70454545454545,7040,MS634
2020-11-05T00:00:00Z,53.02711864406779,11800,MS636
2020-11-05T00:00:00Z,63.29192546583851,6440,MS637
2020-11-05T00:00:00Z,67.99074074074073,12960,MS638
2020-11-05T00:00:00Z,57.74222222222222,9000,MS639
2020-11-05T00:00:00Z,67.08285163776493,20760,MS640
2020-11-05T00:00:00Z,69.783185840708,9040,MS641
2020-11-05T00:00:00Z,70.82352941176471,12240,MS644
2020-11-05T00:00:00Z,56.424698795180724,13280,MS645
2020-11-05T00:00:00Z,58.360655737704924,12200,MS646
2020-11-05T00:00:00Z,72.39405204460967,10760,MS647
2020-11-05T00:00:00Z,56.14070351758792,7960,MS648
2020-11-05T00:00:00Z,64.0718954248366,6120,MS649
2020-11-05T00:00:00Z,55.359375,5120,MS650
2020-11-05T00:00:00Z,62.44816053511707,11960,MS651
2020-11-05T00:00:00Z,72.84331797235025,8680,MS652
2020-11-05T00:00:00Z,73.13172043010752,14880,MS653
2020-11-05T00:00:00Z,56.65853658536587,9840,MS654
2020-11-05T00:00:00Z,43.4712643678161,3480,MS655
2020-11-05T00:00:00Z,41.69333333333336,3000,MS656
2020-11-05T00:00:00Z,46.43382352941177,5440,MS657
2020-11-05T00:00:00Z,51.19018404907977,6520,MS658
2020-11-05T00:00:00Z,57.421875,2560,MS659
2020-11-05T00:00:00Z,55.483870967741936,2480,MS668
2020-11-05T00:00:00Z,47.03389830508474,4720,MS669
2020-11-05T00:00:00Z,59.66972477064222,4360,MS670
2020-11-05T00:00:00Z,58.41904761904764,4200,MS671
2020-11-05T00:00:00Z,49.817258883248726,7880,MS672
2020-11-05T00:00:00Z,55.48062015503875,5160,MS673
2020-11-05T00:00:00Z,42.00000000000001,3080,MS689
2020-11-05T00:00:00Z,55.0,560,MS690
2020-11-05T00:00:00Z,42.999999999999986,720,MS691
