accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,Π.Υ. ΚΑΤΕΡΙΝΗΣ,1,,2, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΚΑΤΕΡΙΝΗΣ,2,ΠΙΕΡΙΑΣ,2014-09-24T00:00:00,ΚΑΤΕΡΙΝΗ
,0,0,0,, 8ος Π.Σ. ΑΘΗΝΩΝ,1,,5, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΑΝΩΤΑΤΗΣ ΕΩΣ & ΔΗΜΟΤΙΚΗΣ ΕΚΠ/ΣΗΣ ,Δ. ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,1,ΑΤΤΙΚΗΣ,2014-09-26T00:00:00,
,0,0,0,2014-10-21T00:27:00,10ος Π.Σ. ΑΘΗΝΩΝ,,,, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΦΥΛΗΣ,1,ΑΤΤΙΚΗΣ,2014-10-21T00:00:00,ΑΝΩ ΛΙΟΣΙΑ
,0,0,0,, 8ος Π.Σ. ΑΘΗΝΩΝ,,,5, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΛΛΕΣ ΠΕΡΙΠΤΩΣΕΙΣ,0,,Δ. ΓΛΥΦΑΔΑΣ,1,ΑΤΤΙΚΗΣ,2014-11-16T00:00:00,
,0,0,0,,Π.Υ. ΔΙΔΥΜΟΤΕΙΧΟΥ,1,,2, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,1,ΕΒΡΟΥ,2014-11-20T00:00:00,
,0,0,0,2014-11-23T00:50:00,Π.Υ. ΣΑΜΟΥ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΣΑΜΟΥ,1,ΣΑΜΟΥ,2014-11-23T00:00:00,ΠΑΛΙΟΚΑΣΤΡΟ
,0,0,0,,2ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,2,,6, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΕΥΟΣΜΟΥ-ΚΟΡΔΕΛΙΟΥ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-11-29T00:00:00,ΕΥΟΣΜΟΣ
,0,0,0,,2ος  Π.Σ. ΠΕΙΡΑΙΑ,1,,3, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΠΕΙΡΑΙΩΣ,1,ΑΤΤΙΚΗΣ,2014-12-10T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,3, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-12-11T00:00:00,
,0,0,0,, 1ος Π.Σ. ΑΘΗΝΩΝ,1,,4, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2014-12-17T00:00:00,
